report_date,location,location_type,data_field,data_field_code,time_period_year,time_period_week,value,unit
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_travel,PR0001,2015-2016,47-3,1,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_local,PR0002,2015-2016,47-3,20,cases
2016-02-4,United_States-Puerto_Rico,territory,yearly_reported_travel_cases,PR0003,2015-2016,47-3,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reporeted_visitor,PR0004,2015-2016,47-3,1,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_hospitalized,PR0005,2015-2016,47-3,3,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_pregnant,PR0006,2015-2016,47-3,1,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_fatal,PR0007,2015-2016,47-3,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_age_group_1,PR0008,2015-2016,47-3,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_age_group_2,PR0009,2015-2016,47-3,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_age_group_3,PR0010,2015-2016,47-3,2,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_age_group_4,PR0011,2015-2016,47-3,7,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_age_group_5,PR0012,2015-2016,47-3,11,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_age_group_6,PR0013,2015-2016,47-3,1,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47-52,9,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1-3,12,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,42,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,43,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,44,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,45,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,46,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47,1,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,48,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,49,0,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,50,2,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,51,1,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,52,5,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1,3,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,2,6,cases
2016-02-4,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,3,3,cases
