report_date,location,location_type,data_field,data_field_code,time_period_year,time_period_week,value,unit
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_travel,PR0001,2015-2016,47-9,1,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_local,PR0002,2015-2016,47-9,248,cases
2016-03-17,United_States-Puerto_Rico,territory,yearly_reported_travel_cases,PR0003,2015-2016,47-9,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reporeted_visitor,PR0004,2015-2016,47-9,1,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_hospitalized,PR0005,2015-2016,47-9,6,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_pregnant,PR0006,2015-2016,47-9,24,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_fatal,PR0007,2015-2016,47-9,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_gb,PR0008,2015-2016,47-9,1,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_age_group_1,PR0009,2016,1-9,3,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_age_group_2,PR0010,2016,1-9,2,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_age_group_3,PR0011,2016,1-9,90,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_age_group_4,PR0012,2016,1-9,89,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_age_group_5,PR0013,2016,1-9,51,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_age_group_6,PR0014,2016,1-9,14,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47-52,10,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1-9,239,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,42,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,43,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,44,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,45,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,46,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47,1,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,48,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,49,0,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,50,2,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,51,1,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,52,6,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1,4,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,2,10,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,3,11,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,4,16,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,5,41,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,6,64,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,7,49,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,8,34,cases
2016-03-17,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,9,10,cases
