report_date,location,location_type,data_field,data_field_code,year,week,value,unit
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_travel,PR0001,2015-2016,47-5,1,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_local,PR0002,2015-2016,47-5,29,cases
2016-02-18,United_States-Puerto_Rico,territory,yearly_reported_travel_cases,PR0003,2015-2016,47-5,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reporeted_visitor,PR0004,2015-2016,47-5,1,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_hospitalized,PR0005,2015-2016,47-5,3,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_pregnant,PR0006,2015-2016,47-5,1,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_fatal,PR0007,2015-2016,47-5,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_age_group_1,PR0008,2015-2016,47-5,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_age_group_2,PR0009,2015-2016,47-5,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_age_group_3,PR0010,2015-2016,47-5,13,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_age_group_4,PR0011,2015-2016,47-5,15,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_age_group_5,PR0012,2015-2016,47-5,23,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_age_group_6,PR0013,2015-2016,47-5,3,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47-52,9,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1-5,21,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,42,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,43,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,44,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,45,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,46,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47,1,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,48,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,49,0,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,50,2,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,51,1,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,52,5,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1,4,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,2,6,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,3,6,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0001,2016,4,12,cases
2016-02-18,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0002,2016,5,26,cases
